"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN","Open Access"
"Zhuravinskyi M.; Maletskyi D.; Kravets I.; Kapshii O.; Farenyuk O.","Zhuravinskyi, Maxym (58765651900); Maletskyi, Denys (58765652000); Kravets, Igor (58765782800); Kapshii, Oleg (51561792400); Farenyuk, Oleg (13405696200)","58765651900; 58765652000; 58765782800; 51561792400; 13405696200","Decentralized Provisioning Algorithm For BLE Mesh Network","2023","10.1109/CSIT61576.2023.10324056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179843087&doi=10.1109%2fCSIT61576.2023.10324056&partnerID=40&md5=bca46f8171190485da795195e4707b1c","Catholic University, Faculty of Applied Sciences of Ukrainian, L'viv, Ukraine; Institute for Condensed Matter Physics, National Academy of Sciences of Ukraine, L'viv, Ukraine; Infineon Technologies, L'viv, Ukraine","Zhuravinskyi M., Catholic University, Faculty of Applied Sciences of Ukrainian, L'viv, Ukraine; Maletskyi D., Catholic University, Faculty of Applied Sciences of Ukrainian, L'viv, Ukraine; Kravets I., Infineon Technologies, L'viv, Ukraine; Kapshii O., Infineon Technologies, L'viv, Ukraine; Farenyuk O., Institute for Condensed Matter Physics, National Academy of Sciences of Ukraine, L'viv, Ukraine, Infineon Technologies, L'viv, Ukraine","27663655","979-835036046-2","",""
"Antoniuk D.S.; Vakaliuk T.A.; Didkivskyi V.V.; Vizghalov O.Yu.","Antoniuk, Dmytro S. (57216847072); Vakaliuk, Tetiana A. (57211133927); Didkivskyi, Vladyslav V. (57433774100); Vizghalov, Oleksandr Yu. (57219929773)","57216847072; 57211133927; 57433774100; 57219929773","Development of a simulator to determine personal financial strategies using machine learning","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123767571&partnerID=40&md5=3cb627805912301ea0fda4cd21d844a3","Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine; Institute of Information Technologies, Learning Tools of the NAES of Ukraine, 9 M. Berlynskoho Str., Kyiv, 04060, Ukraine; Kryvyi Rih State Pedagogical University, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine","Antoniuk D.S., Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine; Vakaliuk T.A., Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine, Institute of Information Technologies, Learning Tools of the NAES of Ukraine, 9 M. Berlynskoho Str., Kyiv, 04060, Ukraine, Kryvyi Rih State Pedagogical University, 54 Gagarin Ave., Kryvyi Rih, 50086, Ukraine; Didkivskyi V.V., Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine; Vizghalov O.Yu., Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine","16130073","","",""
"Uhryn D.; Lytvyn V.; Lendiuk T.","Uhryn, Dmytro (57163746300); Lytvyn, Vasyl (56446930100); Lendiuk, Taras (57711749100)","57163746300; 56446930100; 57711749100","Method of Selecting and Determining the Free Parameters of Swarm Intelligent Algorithms for Optimizing Solutions in GIS","2021","10.1109/IDAACS53288.2021.9661024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124791376&doi=10.1109%2fIDAACS53288.2021.9661024&partnerID=40&md5=94137f23c3283c0a5b1fe5eebbaaec12","Chernivtsi Faculty of The National Technical University 'Kharkiv Polytechnic Institute', Department of Information Systems, Holovna str., 203A, Chernivtsi, 58000, Ukraine; Lviv Polytechnic National University, Department of Information Systems and Networks, Bandery str., 12, Lviv, 79013, Ukraine; West Ukrainian National University, Department For Information-Computing Systems and Control, 3 Peremoga Square, Ternopil, 46020, Ukraine","Uhryn D., Chernivtsi Faculty of The National Technical University 'Kharkiv Polytechnic Institute', Department of Information Systems, Holovna str., 203A, Chernivtsi, 58000, Ukraine; Lytvyn V., Lviv Polytechnic National University, Department of Information Systems and Networks, Bandery str., 12, Lviv, 79013, Ukraine; Lendiuk T., West Ukrainian National University, Department For Information-Computing Systems and Control, 3 Peremoga Square, Ternopil, 46020, Ukraine","","978-166542605-3","",""
"Kuznetsov A.; Yeromin Y.; Shapoval O.; Chernov K.; Popova M.; Serdukov K.","Kuznetsov, Alexandr (55428957200); Yeromin, Yehor (57203141277); Shapoval, Oleksiy (57208665851); Chernov, Kyrylo (57207781410); Popova, Mariia (57208668910); Serdukov, Kostyantyn (57215302040)","55428957200; 57203141277; 57208665851; 57207781410; 57208668910; 57215302040","Automated software vulnerability testing using deep learning methods","2019","10.1109/UKRCON.2019.8879997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074905452&doi=10.1109%2fUKRCON.2019.8879997&partnerID=40&md5=fb6a01cfb985234c287501407e19bfe6","V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Kyiv National University of Trade and Economics, Kyiv, Ukraine","Kuznetsov A., V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Yeromin Y., V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Shapoval O., V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Chernov K., V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Popova M., V. N. Karazin Kharkiv National University, Kharkiv, Ukraine; Serdukov K., Kyiv National University of Trade and Economics, Kyiv, Ukraine","","978-172813882-4","",""
"Fedorov E.; Nechyporenko O.; Chychuzhko M.; Chychuzhko V.; Leshchenko R.","Fedorov, Eugene (47161155900); Nechyporenko, Olga (57216488854); Chychuzhko, Maryna (57193454434); Chychuzhko, Vladyslav (57670690300); Leshchenko, Ruslan (58558076000)","47161155900; 57216488854; 57193454434; 57670690300; 58558076000","NEURAL NETWORK-BASED METHODS FOR FINDING THE SHORTEST PATH AND ESTABLISHING ASSOCIATIVE CONNECTIONS BETWEEN OBJECTS; [НЕЙРОМЕРЕЖЕВІ МЕТОДИ ПОШУКУ НАЙКОРОТШИХ ШЛЯХІВ ТА ВСТАНОВЛЕННЯ АСОЦІАТИВНИХ ЗВ’ЯЗКІВ МІЖ ОБ’ЄКТАМИ]","2023","10.32620/REKS.2023.2.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169423328&doi=10.32620%2fREKS.2023.2.05&partnerID=40&md5=e09eb7ff6d28296dd99fced4700d0b36","Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine","Fedorov E., Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Nechyporenko O., Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Chychuzhko M., Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Chychuzhko V., Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine; Leshchenko R., Department of Robotics and specialized computer systems, Cherkasy State Technological University, Cherkasy, Ukraine","18144225","","","All Open Access; Gold Open Access"
"Bazhinov O.; Gerlici J.; Kravchenko O.; Haiek Y.; Bazhynova T.; Zaverukha R.; Kravchenko K.","Bazhinov, Oleksiy (57381360800); Gerlici, Juraj (23990527400); Kravchenko, Oleksandr (58243704100); Haiek, Yevhen (57224370867); Bazhynova, Tetiana (57193132749); Zaverukha, Ruslan (57382424400); Kravchenko, Kateryna (57192100112)","57381360800; 23990527400; 58243704100; 57224370867; 57193132749; 57382424400; 57192100112","Development of a method for evaluating the technical condition of a car’s hybrid powertrain","2021","10.3390/sym13122356","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121558587&doi=10.3390%2fsym13122356&partnerID=40&md5=9e8c8b89d7120279549a86d575d2e086","Department of Technical Operation and Service of Automobiles Named M. Govorushchenko, Kharkiv National Automobile and Highway University, Yaroslava Mudrogo 25, Kharkiv, 61002, Ukraine; Department of Transport and Handling Machines, University of Zilina, Univerzitna 1, Zilina, 010 26, Slovakia; The Department of Automobile and Transport Technologies, Zhytomyr Polytechnic State University, Chudnivska 103, Zhytomyr, 10005, Ukraine; Department of Optimization of Technological Systems Named after T. Yevsiukov, Kharkiv Petro Vasylenko National Technical University of Agriculture, Alchevsky 44, Kharkiv, 61002, Ukraine; Department of Tractors and Automobiles, Kharkiv Petro Vasylenko National Technical University of Agriculture, Yaroslava Mudrogo 25, Kharkiv, 61002, Ukraine; Department of Automobiles, Ternopil Ivan Puluj National Technical University, Ruska 56, Ternopil, 46001, Ukraine","Bazhinov O., Department of Technical Operation and Service of Automobiles Named M. Govorushchenko, Kharkiv National Automobile and Highway University, Yaroslava Mudrogo 25, Kharkiv, 61002, Ukraine; Gerlici J., Department of Transport and Handling Machines, University of Zilina, Univerzitna 1, Zilina, 010 26, Slovakia; Kravchenko O., The Department of Automobile and Transport Technologies, Zhytomyr Polytechnic State University, Chudnivska 103, Zhytomyr, 10005, Ukraine; Haiek Y., Department of Optimization of Technological Systems Named after T. Yevsiukov, Kharkiv Petro Vasylenko National Technical University of Agriculture, Alchevsky 44, Kharkiv, 61002, Ukraine; Bazhynova T., Department of Tractors and Automobiles, Kharkiv Petro Vasylenko National Technical University of Agriculture, Yaroslava Mudrogo 25, Kharkiv, 61002, Ukraine; Zaverukha R., Department of Automobiles, Ternopil Ivan Puluj National Technical University, Ruska 56, Ternopil, 46001, Ukraine; Kravchenko K., Department of Transport and Handling Machines, University of Zilina, Univerzitna 1, Zilina, 010 26, Slovakia","20738994","","","All Open Access; Gold Open Access"
"Kravets P.; Vysotska V.; Lytvyn V.; Chyrun L.","Kravets, Petro (6603085655); Vysotska, Victoria (24484045400); Lytvyn, Vasyl (56446930100); Chyrun, Lyubomyr (55225672300)","6603085655; 24484045400; 56446930100; 55225672300","Adaptive Decision-Making Strategies in the Game with Environment","2023","10.1007/978-3-031-16203-9_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138699381&doi=10.1007%2f978-3-031-16203-9_17&partnerID=40&md5=8dec2054c1305de9980a61cb84bcfc8d","Lviv Polytechnic National University, Lviv, Ukraine; Osnabrück University, Osnabrück, Germany; Ivan Franko National University of Lviv, Lviv, Ukraine","Kravets P., Lviv Polytechnic National University, Lviv, Ukraine; Vysotska V., Lviv Polytechnic National University, Lviv, Ukraine, Osnabrück University, Osnabrück, Germany; Lytvyn V., Lviv Polytechnic National University, Lviv, Ukraine; Chyrun L., Ivan Franko National University of Lviv, Lviv, Ukraine","23674512","","",""
"Boyko N.; Korkishko V.; Dohnyak B.; Vovk O.","Boyko, Nataliya (57191967462); Korkishko, Volodymyr (57204076274); Dohnyak, Bohdan (57204076679); Vovk, Olena (57198346128)","57191967462; 57204076274; 57204076679; 57198346128","Use of neural networks in Q-Learning algorithm","2018","10.1007/978-3-030-00840-6_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054369755&doi=10.1007%2f978-3-030-00840-6_21&partnerID=40&md5=a5e8fae13499b506c9c4fffab12b24f7","Lviv Polytechnic National University, Lviv, 79013, Ukraine","Boyko N., Lviv Polytechnic National University, Lviv, 79013, Ukraine; Korkishko V., Lviv Polytechnic National University, Lviv, 79013, Ukraine; Dohnyak B., Lviv Polytechnic National University, Lviv, 79013, Ukraine; Vovk O., Lviv Polytechnic National University, Lviv, 79013, Ukraine","18650929","978-303000839-0","",""
"Ignatenko O.; Pravosud R.","Ignatenko, Oleksii (58781318200); Pravosud, Ruslan (58781385700)","58781318200; 58781385700","Solving Sokoban Game with a Heuristic for Avoiding Dead-End States","2023","10.1007/978-3-031-48325-7_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180620081&doi=10.1007%2f978-3-031-48325-7_4&partnerID=40&md5=7cc50fce563301f6763c6b150d44a16f","Kyiv Academic University, Kyiv, Ukraine; Ukraine Catholic University, Lviv, Ukraine","Ignatenko O., Ukraine Catholic University, Lviv, Ukraine; Pravosud R., Kyiv Academic University, Kyiv, Ukraine","18650929","978-303148324-0","",""
"Adamov A.; Carlsson A.","Adamov, Alexander (24483070600); Carlsson, Anders (57195753097)","24483070600; 57195753097","Reinforcement Learning for Anti-Ransomware Testing","2020","10.1109/EWDTS50664.2020.9225141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096415455&doi=10.1109%2fEWDTS50664.2020.9225141&partnerID=40&md5=66d90ca090ecd8948fc66ebe4490ef3a","Kharkiv National University of Radio Electronics, NioGuard Security Lab, Kharkiv, Ukraine; Blekinge Institute of Technology, Dep. of Computer Science, Karlskrona, Sweden","Adamov A., Kharkiv National University of Radio Electronics, NioGuard Security Lab, Kharkiv, Ukraine; Carlsson A., Blekinge Institute of Technology, Dep. of Computer Science, Karlskrona, Sweden","","978-172819899-6","","All Open Access; Green Open Access"
"Kryvenchuk Y.; Petrenko D.; Cichoń D.; Malynovskyy Y.; Helzhynska T.","Kryvenchuk, Yurii (57198358655); Petrenko, Dmytro (57210416121); Cichoń, Dariusz (57779905500); Malynovskyy, Yuriy (57200140415); Helzhynska, Tetiana (57211626257)","57198358655; 57210416121; 57779905500; 57200140415; 57211626257","Selection of Deep Reinforcement Learning Using a Genetic Algorithm","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134775803&partnerID=40&md5=1b65910d2c560fd669d4eefdd262b628","Lviv Polytechnic National University, Stepana Bandery Street 12, Lviv, 79013, Ukraine; AGH University of Science and Technology, al. Mickiewicza 30, Krakow, 30059, Poland","Kryvenchuk Y., Lviv Polytechnic National University, Stepana Bandery Street 12, Lviv, 79013, Ukraine; Petrenko D., Lviv Polytechnic National University, Stepana Bandery Street 12, Lviv, 79013, Ukraine; Cichoń D., AGH University of Science and Technology, al. Mickiewicza 30, Krakow, 30059, Poland; Malynovskyy Y., Lviv Polytechnic National University, Stepana Bandery Street 12, Lviv, 79013, Ukraine; Helzhynska T., Lviv Polytechnic National University, Stepana Bandery Street 12, Lviv, 79013, Ukraine","16130073","","",""
"Pavlyshenko B.M.","Pavlyshenko, Bohdan M. (8521299600)","8521299600","SALES TIME SERIES ANALYTICS USING DEEP Q-LEARNING","2020","10.47839/IJC.19.3.1892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102530532&doi=10.47839%2fIJC.19.3.1892&partnerID=40&md5=9bdefc2664f2370e209fdf66ae477b09","Ivan Franko National University of Lviv, Ukraine","Pavlyshenko B.M., Ivan Franko National University of Lviv, Ukraine","17276209","","","All Open Access; Green Open Access; Hybrid Gold Open Access"
