id,Назва,Скорочена форма,Місто,Кількість бакалаврів,Кількість магістрів,Загальна кількість в університеті
1,Київський національний університет імені Тараса Шевченка,КНУ ім. Шевченка,Київ,305,115,420
2,Український католицький Університет,УКУ,Львів,100,35,135
3,Національний університет “Києво-Могилянська академія”,НаУКМА,Київ,172,50,222
4,Національний університет “Львівська політехніка”,НУ «Львівська політехніка»,Львів,996,744,1740
5,Харківський національний економічний університет імені Семена Кузнеця,ХНЕУ,Харків,158,78,236
6,Київський політехнічний інститут імені Ігоря Сікорського,НТУУ «КПІ ім. І. Сікорського»,Київ,1884,447,2331
7,Львівський національний університет імені Івана Франка,ЛНУ ім. Франка,Львів,595,214,809
8,"Національний університет ""Одеська політехніка""",НУ «Одеська політехніка» (ОНПУ),Одеса,571,135,706
9,Одеський національний університет імені І. І. Мечникова,ОНУ ім. Мечникова,Одеса,110,37,147
10,Державний університет телекомунікацій,ДУТ,Київ,414,450,864
11,Харківський національний університет радіоелектроніки.,ХНУРЕ,Харків,735,567,1302
12,Дніпровський національний університет імені Олеся Гончара,ДНУ ім. Гончара,Дніпро,261,157,418
13,Національний технічний університет “Дніпровська політехніка”,НТУ «Дніпровська політехніка»,Дніпро,282,82,364
14,Київський національний економічний університет імені Вадима Гетьмана,КНЕУ,Київ,96,29,125
15,Харківський авіаційний інститут,ХАІ,Харків,162,172,334
16,Харківський національний університет імені Василя Назаровича Каразіна,ХНУ ім. Каразіна,Харків,149,67,216
17,Харківський політехнічний інститут,НТУ «ХПІ»,Харків,426,147,573
18,Хмельницький національний університет,ХНУ [м. Хмельницький],Хмельницький,310,161,471
19,Чернівецький національний університет імені Юрія Федьковича,ЧНУ ім. Федьковича,Чернівці,116,43,159
20,Сумський державний університет,СумДУ,Суми,162,0,162